,configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
0,1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2752005,0.96,0.1, 0:00.26,399,600,3642.1,1100.8
1,101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1186780,3.81,0.22, 0:00.89,450,600,750.58,474.71
2,102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,1242553,3.34,0.17, 0:00.68,516,600,1031.82,497.02
3,103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,1259939,3.49,0.18, 0:00.67,543,600,1041.26,503.98
4,104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1521229,5.99,0.22, 0:00.93,663,600,715.39,608.49
5,105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1563080,4.1,0.13, 0:00.63,663,600,1105.97,625.23
6,106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1439485,2.57,0.14, 0:00.58,468,600,1255.25,575.79
7,107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1420966,2.49,0.13, 0:00.56,465,600,1272.25,568.39
8,108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1128744,3.37,0.16, 0:00.75,468,600,921.33,451.5
9,109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1179867,3.34,0.2, 0:00.72,492,600,971.02,471.95
10,110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,1536614,3.41,0.14, 0:00.71,499,600,966.24,614.65
11,11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1699794,1.35,0.18, 0:00.27,550,600,3140.69,679.92
12,111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1447085,4.67,0.17, 0:00.74,652,600,930.67,578.83
13,112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1239712,4.03,0.14, 0:00.78,530,600,860.39,495.88
14,113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1226500,4.18,0.19, 0:00.78,559,600,881.97,490.6
15,114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1129245,3.65,0.2, 0:00.75,513,600,918.96,451.7
16,115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,1597396,5.25,0.17, 0:00.87,620,600,775.36,638.96
17,116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1142121,5.02,0.17, 0:00.87,593,600,774.15,456.85
18,117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1226168,3.87,0.17, 0:00.75,538,600,928.0,490.47
19,118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1420049,4.4,0.18, 0:00.82,559,600,825.52,568.02
20,119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1086405,4.08,0.18, 0:00.82,519,600,828.69,434.56
21,120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1063596,3.78,0.14, 0:00.74,529,600,926.04,425.44
22,12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1699794,1.42,0.17, 0:00.30,524,600,2899.97,679.92
23,121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,1459512,4.26,0.21, 0:00.83,538,600,818.02,583.8
24,122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1085369,4.01,0.2, 0:00.84,498,600,807.39,434.15
25,123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1064568,4.67,0.18, 0:00.84,573,600,809.37,425.83
26,124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,1471099,3.74,0.12, 0:00.58,657,600,1208.51,588.44
27,125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,1471100,3.94,0.18, 0:00.64,636,600,1102.68,588.44
28,126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,1582902,3.71,0.16, 0:00.60,640,600,1201.18,633.16
29,127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1128047,3.31,0.25, 0:00.65,549,600,1093.36,451.22
30,128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1148060,3.12,0.18, 0:00.56,582,600,1290.26,459.22
31,129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1275448,3.58,0.22, 0:00.64,590,600,1094.35,510.18
32,130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1382801,2.92,0.2, 0:00.44,707,600,1736.99,553.12
33,13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2742181,0.93,0.11, 0:00.25,413,600,3810.42,1096.87
34,131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1511824,3.18,0.19, 0:00.46,722,600,1626.91,604.73
35,132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1495690,3.7,0.08, 0:00.50,752,600,1424.71,598.28
36,133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,1498947,3.22,0.17, 0:00.47,716,600,1556.8,599.58
37,134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,1226168,3.81,0.17, 0:00.73,546,600,941.58,490.47
38,135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1558255,5.0,0.2, 0:00.99,525,600,672.57,623.3
39,136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,1657423,4.18,0.2, 0:00.89,492,600,765.62,662.97
40,137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1560912,3.43,0.19, 0:00.67,538,600,1020.97,624.36
41,138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,1249157,22.54,0.27, 0:03.71,614,600,166.04,499.66
42,139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,1435048,25.12,0.35, 0:03.76,676,600,164.06,574.02
43,140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,1419136,14.87,0.26, 0:02.49,606,600,250.46,567.65
44,14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2752005,0.92,0.13, 0:00.26,401,600,3612.41,1100.8
45,141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,1613708,8.77,0.19, 0:01.29,690,600,501.29,645.48
46,142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1348357,18.0,0.25, 0:03.12,584,600,198.72,539.34
47,143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,1585293,16.69,0.29, 0:03.26,521,600,189.54,634.12
48,144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1502899,20.91,0.28, 0:03.80,557,600,161.78,601.16
49,145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1299179,9.01,0.22, 0:01.69,543,600,377.07,519.67
50,146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1122268,6.67,0.25, 0:01.23,562,600,529.87,448.91
51,147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,1765945,4.11,0.17, 0:00.82,523,600,839.44,706.38
52,148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,1769820,9.83,0.17, 0:01.82,549,600,348.0,707.93
53,149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,1795323,10.06,0.2, 0:01.79,571,600,355.06,718.13
54,150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1448547,4.74,0.18, 0:00.75,649,600,900.99,579.42
55,15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,2752005,0.87,0.14, 0:00.25,405,600,3816.99,1100.8
56,151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1652580,10.27,0.22, 0:01.74,603,600,365.78,661.03
57,152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1416429,6.47,0.15, 0:01.08,612,600,613.08,566.57
58,153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,1416721,6.42,0.17, 0:01.05,626,600,624.63,566.69
59,154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,1416589,6.44,0.2, 0:01.06,622,600,618.85,566.64
60,155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1340875,4.18,0.13, 0:00.68,627,600,1020.45,536.35
61,156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,1529514,6.31,0.2, 0:01.08,603,600,607.69,611.81
62,157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,1066966,13.23,0.28, 0:02.25,600,600,279.16,426.79
63,158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1157331,8.65,0.24, 0:01.43,621,600,451.78,462.93
64,159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1144720,11.23,0.27, 0:01.69,680,600,379.6,457.89
65,160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,1134509,8.1,0.23, 0:01.29,646,600,504.53,453.8
66,16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,2752005,0.96,0.12, 0:00.26,419,600,3649.17,1100.8
67,161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,1138569,4.98,0.25, 0:01.28,408,600,507.71,455.43
68,162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,1474377,8.01,0.18, 0:01.17,698,600,558.72,589.75
69,163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,1612601,9.58,0.2, 0:01.79,545,600,353.78,645.04
70,164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,1892714,6.68,0.23, 0:01.39,496,600,464.01,757.09
71,165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,1522680,6.17,0.17, 0:01.04,606,600,635.45,609.07
72,166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,1765630,7.54,0.2, 0:01.43,539,600,448.79,706.25
73,167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,1522672,4.45,0.2, 0:00.85,548,600,796.22,609.07
74,168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,1079670,6.26,0.13, 0:00.95,667,600,702.56,431.87
75,169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,1042336,7.76,0.2, 0:01.29,615,600,504.12,416.93
76,170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,1079193,8.59,0.28, 0:01.43,617,600,449.84,431.68
77,17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2738495,0.96,0.13, 0:00.27,407,600,3549.83,1095.4
78,171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,1148772,8.68,0.2, 0:01.41,628,600,458.46,459.51
79,172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,1533517,9.12,0.19, 0:01.51,616,600,427.1,613.41
80,173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,1160671,2.91,0.23, 0:00.62,500,600,1141.78,464.27
81,174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,1522736,5.19,0.14, 0:00.96,554,600,696.06,609.09
82,175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,1160671,2.95,0.29, 0:00.67,483,600,1061.32,464.27
83,176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,1155549,15.81,0.81, 0:04.59,362,600,133.89,462.22
84,177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,1162993,7.28,0.79, 0:02.65,304,600,235.04,465.2
85,178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,1046270,21.58,0.79, 0:04.58,488,600,134.18,418.51
86,179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,1544729,8.93,0.18, 0:01.49,611,600,430.82,617.89
87,180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1156196,8.92,0.18, 0:01.50,605,600,429.36,462.48
88,18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,1797116,0.99,0.1, 0:00.26,422,600,3658.98,718.85
89,181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,979093,8.82,0.19, 0:01.30,690,600,499.06,391.64
