,configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
0,1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,873814,135.78,18.39, 1:45.54,146,1193,13.21,349.76
1,101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,621871,246.73,19.56, 1:46.94,249,1193,12.96,248.91
2,102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,407050,221.2,18.63, 1:47.64,222,1193,12.85,162.93
3,103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,466716,250.24,19.56, 1:49.83,245,1193,12.68,186.81
4,104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,2734207,220.47,18.79, 1:49.07,219,1193,12.8,1094.41
5,105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,2749551,232.1,19.51, 1:48.60,231,1193,12.86,1100.56
6,106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,695708,171.37,19.05, 1:47.82,176,1193,12.96,278.47
7,107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,11494222,193.35,18.2, 1:46.02,199,1193,13.21,4600.76
8,108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1011973,223.05,19.29, 1:50.02,220,1193,12.66,405.06
9,109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,989850,230.75,18.52, 1:49.97,226,1193,12.65,396.2
10,110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,450967,220.28,19.3, 1:48.00,221,1193,12.82,180.51
11,11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,752308,163.04,18.31, 1:46.53,170,1193,13.14,301.12
12,111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,2840648,194.56,17.85, 1:48.97,194,1193,12.93,1137.02
13,112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1026785,211.01,18.37, 1:48.17,212,1193,12.78,410.99
14,113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1026579,209.61,18.81, 1:47.88,211,1193,12.85,410.91
15,114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1013957,204.41,18.16, 1:46.60,208,1193,13.0,405.85
16,115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,473353,209.88,19.81, 1:48.34,212,1193,12.9,189.47
17,116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1157233,197.66,16.72, 1:48.41,197,1193,12.75,463.2
18,117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1026988,204.02,19.53, 1:47.28,208,1193,12.9,411.07
19,118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1253515,208.39,17.99, 1:48.10,209,1193,12.79,501.74
20,119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,977864,208.38,26.81, 1:48.90,215,1193,12.8,391.41
21,120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,976298,206.89,23.7, 1:47.79,213,1193,12.85,390.78
22,12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,752308,168.29,19.71, 1:46.30,176,1193,13.18,301.12
23,121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,459926,205.86,26.1, 1:46.14,218,1193,13.06,184.09
24,122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,976834,207.92,25.7, 1:47.35,217,1193,12.89,390.99
25,123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,978117,203.21,20.97, 1:47.22,209,1193,12.89,391.51
26,124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,666520,202.24,22.84, 1:47.46,209,1193,13.01,266.79
27,125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,2239944,200.17,22.79, 1:46.04,210,1193,13.2,896.58
28,126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,679002,205.97,23.99, 1:47.47,213,1193,13.0,271.78
29,127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,956764,227.82,21.04, 1:49.29,227,1193,12.76,382.96
30,128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,958921,253.52,19.64, 1:49.82,248,1193,12.57,383.82
31,129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,991015,242.63,19.97, 1:49.71,239,1193,12.63,396.67
32,130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,2615132,236.64,20.05, 1:50.39,232,1193,12.49,1046.75
33,13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,874260,134.16,16.52, 1:42.80,146,1193,13.56,349.94
34,131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3143268,269.49,20.25, 1:48.48,267,1193,12.72,1258.15
35,132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3143298,280.69,21.49, 1:50.22,274,1193,12.64,1258.16
36,133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,3144073,240.29,20.04, 1:49.18,238,1193,12.64,1258.47
37,134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,1026988,207.88,18.71, 1:47.93,209,1193,12.94,411.07
38,135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1208028,192.5,17.12, 1:44.84,199,1193,13.26,483.53
39,136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,461603,210.89,17.68, 1:47.19,213,1193,12.91,184.76
40,137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1150318,190.24,18.57, 1:45.75,197,1193,13.25,460.43
41,138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,1413628,260.24,19.16, 1:50.85,252,1193,12.55,565.83
42,139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,466393,204.45,18.38, 1:45.55,211,1193,13.17,186.68
43,140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,491374,190.56,18.79, 1:45.09,199,1193,13.36,196.68
44,14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,873814,135.58,17.74, 1:43.71,147,1193,13.56,349.76
45,141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,485761,310.17,18.93, 1:48.80,302,1193,12.71,194.43
46,142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1263322,217.14,17.26, 1:47.34,218,1193,12.9,505.67
47,143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,471165,221.29,18.52, 1:51.04,215,1193,12.53,188.59
48,144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1243506,208.91,17.49, 1:47.31,210,1193,13.02,497.74
49,145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1423508,211.56,19.04, 1:47.95,213,1193,12.81,569.78
50,146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1154561,210.18,18.88, 1:48.68,210,1193,12.72,462.13
51,147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,467923,202.13,18.85, 1:47.73,205,1193,12.97,187.29
52,148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,2846017,199.37,19.5, 1:45.24,207,1193,13.19,1139.17
53,149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,2860165,223.06,20.0, 1:48.22,224,1193,12.91,1144.83
54,150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2862337,216.3,18.2, 1:46.85,219,1193,12.97,1145.7
55,15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,873814,134.33,18.39, 1:42.90,148,1193,13.58,349.76
56,151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3139940,230.33,18.53, 1:46.44,233,1193,13.03,1256.82
57,152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2770259,222.13,19.22, 1:47.81,223,1193,13.06,1108.84
58,153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,2770244,230.34,18.22, 1:48.06,230,1193,12.83,1108.84
59,154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,2770287,225.08,18.56, 1:48.79,223,1193,12.83,1108.86
60,155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2804636,216.06,18.74, 1:48.22,216,1193,12.9,1122.6
61,156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,2505794,223.93,18.75, 1:46.16,228,1193,13.07,1002.99
62,157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,570462,214.01,17.0, 1:48.06,213,1193,12.8,228.34
63,158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,583920,213.6,17.94, 1:48.62,213,1193,12.72,233.72
64,159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,587620,220.83,17.17, 1:48.37,219,1193,12.77,235.21
65,160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,628942,279.83,22.02, 1:50.50,273,1193,12.6,251.75
66,16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,873814,133.87,16.49, 1:43.38,145,1193,13.47,349.76
67,161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,558336,256.75,20.26, 1:47.95,256,1193,12.81,223.48
68,162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,1057689,279.53,19.73, 1:48.60,275,1193,12.74,423.36
69,163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,700293,199.62,18.92, 1:44.49,209,1193,13.5,280.3
70,164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,560948,207.97,17.94, 1:46.51,212,1193,13.15,224.53
71,165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,658982,237.28,21.02, 1:49.04,236,1193,12.78,263.77
72,166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,772453,193.03,18.49, 1:42.47,206,1193,13.6,309.19
73,167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,679313,188.49,18.7, 1:44.94,197,1193,13.37,271.91
74,168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,1160567,195.96,17.42, 1:48.26,197,1193,12.78,464.54
75,169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,565448,212.03,17.42, 1:47.82,212,1193,12.84,226.33
76,170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,576652,215.43,18.86, 1:49.16,214,1193,12.77,230.82
77,17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,873650,143.68,19.75, 1:50.94,147,1193,12.52,349.69
78,171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,581530,220.27,21.0, 1:57.17,205,1193,11.6,232.77
79,172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,421483,212.46,21.69, 1:52.87,207,1193,12.27,168.71
80,173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,499853,209.71,26.31, 1:55.38,204,1193,11.8,200.07
81,174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,1061082,261.47,22.37, 1:50.18,257,1193,12.4,424.72
82,175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,499853,213.37,25.94, 1:52.74,212,1193,12.3,200.07
83,176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,647953,489.06,70.5, 1:57.29,477,1193,11.54,259.35
84,177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,688674,417.59,67.9, 1:57.67,412,1193,11.62,275.65
85,178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,627010,513.08,74.51, 2:02.20,480,1193,11.22,250.97
86,179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,429363,221.33,21.66, 1:53.68,213,1193,12.04,171.86
87,180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,573147,217.16,21.26, 1:55.34,206,1193,11.98,229.41
88,18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,761579,159.52,21.03, 1:49.64,164,1193,12.49,304.84
89,181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,609225,214.9,20.22, 1:51.45,210,1193,12.25,243.85
90,182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,579097,219.98,20.53, 1:52.08,214,1193,12.4,231.79
91,183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,611418,292.07,29.82, 1:55.02,279,1193,11.84,244.73
92,184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,442635,291.03,28.83, 1:56.09,275,1193,11.9,177.17
93,185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,614663,296.48,27.8, 1:56.47,278,1193,11.68,246.03
94,186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,613531,284.79,27.07, 1:52.25,277,1193,12.37,245.58
95,187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,685290,295.06,27.24, 1:54.04,282,1193,12.16,274.3
