,configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
0,1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,18327717,6.13,0.66, 0:01.10,613,600,830.4,7331.09
1,101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,12421293,27.08,1.01, 0:03.72,754,600,178.8,4968.52
2,102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,10642577,25.15,0.92, 0:03.18,818,600,213.47,4257.03
3,103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,10840229,29.66,0.88, 0:03.48,875,600,191.68,4336.09
4,104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,13508859,54.76,0.91, 0:03.92,1419,600,169.04,5403.54
5,105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,13441464,32.93,0.83, 0:02.55,1324,600,274.46,5376.59
6,106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,15464872,22.57,0.73, 0:01.96,1183,600,380.49,6185.95
7,107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,15809533,22.41,0.76, 0:02.04,1132,600,362.36,6323.81
8,108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12086325,23.01,0.92, 0:02.81,850,600,246.78,4834.53
9,109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,13229894,26.41,0.88, 0:02.85,954,600,242.27,5291.96
10,110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,12832847,23.58,0.86, 0:02.58,944,600,269.5,5133.14
11,11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13647507,10.9,0.62, 0:01.21,945,600,698.06,5459.0
12,111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,12159938,41.86,0.76, 0:04.24,1005,600,156.0,4863.97
13,112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,13170348,32.59,0.82, 0:03.31,1008,600,201.1,5268.14
14,113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,13208254,37.43,0.82, 0:02.99,1276,600,224.97,5283.3
15,114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,11704142,31.88,0.68, 0:03.28,990,600,203.35,4681.66
16,115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,12816035,38.06,0.74, 0:03.22,1201,600,207.69,5126.41
17,116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,12093564,42.62,0.74, 0:04.63,935,600,139.23,4837.43
18,117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,13164253,32.44,0.88, 0:03.23,1031,600,210.35,5265.7
19,118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,15679157,32.83,0.76, 0:03.03,1106,600,226.88,6271.66
20,119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,11379508,36.29,1.05, 0:04.64,803,600,140.4,4551.8
21,120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,11361312,33.64,1.11, 0:04.08,850,600,161.98,4544.52
22,12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13647507,9.6,0.61, 0:01.11,914,600,793.1,5459.0
23,121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,11056016,33.86,1.1, 0:04.48,779,600,146.4,4422.41
24,122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,11384966,33.92,1.0, 0:04.36,799,600,150.6,4553.99
25,123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,11072225,43.28,0.97, 0:08.71,508,600,71.98,4428.89
26,124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,9523327,30.36,0.81, 0:03.19,975,600,210.08,3809.33
27,125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,9616217,31.97,1.07, 0:03.78,872,600,176.58,3846.49
28,126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,10677191,32.24,0.72, 0:03.56,925,600,187.89,4270.88
29,127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,12249601,24.95,0.89, 0:02.31,1114,600,308.66,4899.84
30,128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,12327675,25.34,0.86, 0:02.27,1154,600,319.48,4931.07
31,129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,14587402,27.09,0.75, 0:02.25,1236,600,312.32,5834.96
32,130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,11020819,21.7,0.85, 0:01.68,1339,600,460.9,4408.33
33,13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,18279067,6.08,0.61, 0:01.08,620,600,851.75,7311.63
34,131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,12364536,26.23,0.9, 0:02.02,1340,600,364.77,4945.81
35,132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,12355842,27.84,0.85, 0:01.99,1437,600,369.8,4942.34
36,133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,12316997,23.82,0.9, 0:01.73,1426,600,442.29,4926.8
37,134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,13164253,32.44,0.79, 0:02.84,1169,600,245.31,5265.7
38,135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,15271459,41.13,0.6, 0:05.25,794,600,121.47,6108.58
39,136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,13400155,32.75,0.8, 0:04.16,804,600,157.44,5360.06
40,137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,15092339,30.08,0.89, 0:03.60,860,600,185.72,6036.94
41,138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,14219608,183.37,0.95, 0:12.31,1496,600,50.38,5687.84
42,139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,12276719,310.84,1.05, 0:18.71,1667,600,32.78,4910.69
43,140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,12140168,108.89,1.02, 0:08.55,1285,600,73.36,4856.07
44,14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,18327717,6.79,0.43, 0:01.09,662,600,843.47,7331.09
